,Event,Date
155,UFC 264: Poirier vs. McGregor 3,"Jul 10, 2021"
156,UFC Fight Night: Gane vs. Volkov,"Jun 26, 2021"
157,UFC on ESPN: The Korean Zombie vs. Ige,"Jun 19, 2021"
158,UFC 263: Adesanya vs. Vettori 2,"Jun 12, 2021"
159,UFC Fight Night: Rozenstruik vs. Sakai,"Jun 5, 2021"
160,UFC Fight Night: Font vs. Garbrandt,"May 22, 2021"
161,UFC 262: Oliveira vs. Chandler,"May 15, 2021"
162,UFC on ESPN: Rodriguez vs. Waterson,"May 8, 2021"
163,UFC on ESPN: Reyes vs. Procházka,"May 1, 2021"
164,UFC 261: Usman vs. Masvidal 2,"Apr 24, 2021"
165,UFC on ESPN: Whittaker vs. Gastelum,"Apr 17, 2021"
166,UFC on ABC: Vettori vs. Holland,"Apr 10, 2021"
167,UFC 260: Miocic vs. Ngannou 2,"Mar 27, 2021"
168,UFC on ESPN: Brunson vs. Holland,"Mar 20, 2021"
169,UFC Fight Night: Edwards vs. Muhammad,"Mar 13, 2021"
170,UFC 259: Błachowicz vs. Adesanya,"Mar 6, 2021"
171,UFC Fight Night: Rozenstruik vs. Gane,"Feb 27, 2021"
172,UFC Fight Night: Blaydes vs. Lewis,"Feb 20, 2021"
173,UFC 258: Usman vs. Burns,"Feb 13, 2021"
174,UFC Fight Night: Overeem vs. Volkov,"Feb 6, 2021"
175,UFC 257: Poirier vs. McGregor 2,"Jan 24, 2021"
176,UFC on ESPN: Chiesa vs. Magny,"Jan 20, 2021"
177,UFC on ABC: Holloway vs. Kattar,"Jan 16, 2021"
178,UFC Fight Night: Thompson vs. Neal,"Dec 19, 2020"
179,UFC 256: Figueiredo vs. Moreno,"Dec 12, 2020"
180,UFC on ESPN: Hermansson vs. Vettori,"Dec 5, 2020"
181,UFC on ESPN: Smith vs. Clark,"Nov 28, 2020"
182,UFC 255: Figueiredo vs. Perez,"Nov 21, 2020"
183,UFC Fight Night: Felder vs. dos Anjos,"Nov 14, 2020"
184,UFC on ESPN: Santos vs. Teixeira,"Nov 7, 2020"
185,UFC Fight Night: Hall vs. Silva,"Oct 31, 2020"
186,UFC 254: Khabib vs. Gaethje,"Oct 24, 2020"
187,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct 18, 2020"
188,UFC Fight Night: Moraes vs. Sandhagen,"Oct 11, 2020"
189,UFC on ESPN: Holm vs. Aldana,"Oct 4, 2020"
190,UFC 253: Adesanya vs. Costa,"Sep 27, 2020"
191,UFC Fight Night: Covington vs. Woodley,"Sep 19, 2020"
192,UFC Fight Night: Waterson vs. Hill,"Sep 12, 2020"
193,UFC Fight Night: Overeem vs. Sakai,"Sep 5, 2020"
194,UFC Fight Night: Smith vs. Rakić,"Aug 29, 2020"
195,UFC on ESPN: Munhoz vs. Edgar,"Aug 22, 2020"
196,UFC 252: Miocic vs. Cormier 3,"Aug 15, 2020"
197,UFC Fight Night: Lewis vs. Oleinik,"Aug 8, 2020"
198,UFC Fight Night: Brunson vs. Shahbazyan,"Aug 1, 2020"
199,UFC on ESPN: Whittaker vs. Till,"Jul 26, 2020"
200,UFC Fight Night: Figueiredo vs. Benavidez 2,"Jul 19, 2020"
201,UFC on ESPN: Kattar vs. Ige,"Jul 16, 2020"
202,UFC 251: Usman vs. Masvidal,"Jul 12, 2020"
203,UFC on ESPN: Poirier vs. Hooker,"Jun 27, 2020"
204,UFC on ESPN: Blaydes vs. Volkov,"Jun 20, 2020"
205,UFC on ESPN: Eye vs. Calvillo,"Jun 13, 2020"
206,UFC 250: Nunes vs. Spencer,"Jun 6, 2020"
207,UFC on ESPN: Woodley vs. Burns,"May 30, 2020"
208,UFC on ESPN: Overeem vs. Harris,"May 16, 2020"
209,UFC Fight Night: Smith vs. Teixeira,"May 13, 2020"
210,UFC 249: Ferguson vs. Gaethje,"May 9, 2020"
