,fighter,final_elo
333,Forrest Griffin,1580.4373187753413
334,Stephan Bonnar,1529.0101673399693
335,Diego Sanchez,1552.4419262390295
336,Kenny Florian,1591.520839341459
337,Sam Hoger,1482.7243107457734
338,Bobby Southworth,1484.0
339,Alex Karalexis,1482.5981711137829
340,Josh Rafferty,1484.0
341,Josh Koscheck,1537.6107977277397
342,Chris Sanford,1484.0
343,Nate Quarry,1555.7744518261482
344,Lodune Sincaid,1484.0
345,Mike Swick,1553.0995151188854
346,Alex Schoenauer,1484.0
347,Chris Leben,1495.835510264244
348,Jason Thacker,1484.0
349,John Marsh,1484.736306793522
350,Jason Miller,1459.8088988105874
351,Charles McCarthy,1486.0668747770883
352,Kevin Jordan,1469.4724164382071
353,Bill Mahood,1484.736306793522
354,Nate Marquardt,1502.1922496443833
355,Josh Neer,1465.4789302973893
356,Terry Martin,1471.423800828074
357,Brian Gassaway,1484.736306793522
358,Brandon Vera,1506.5886826943934
359,Fabiano Scherner,1469.4374927249887
360,Jon Fitch,1630.6086789359804
361,Brock Larson,1497.0357535641065
362,Spencer Fisher,1498.7103768660286
363,Thiago Alves,1523.6433908466736
364,Jonathan Goulet,1490.902376731583
365,Alessio Sakara,1469.397000493013
366,Ron Faircloth,1500.0
367,Marcio Cruz,1502.5536185832134
368,Keigo Kunihara,1484.0
369,Chael Sonnen,1542.2015864612868
370,Branden Lee Hinkle,1484.0332152813098
371,Sean Gannon,1484.0
372,Rashad Evans,1558.459642894494
373,Brad Imes,1453.5047585474697
374,Joe Stevenson,1497.3437578128753
375,Luke Cummo,1482.5901509813143
376,Joshua Burkman,1418.8386666281117
377,Sammy Morgan,1468.736306793522
378,Melvin Guillard,1531.996055856213
379,Marcus Davis,1530.2214595796136
380,Keith Jardine,1489.0961838306907
381,Kerry Schall,1484.0
382,Kit Cope,1484.0676726427585
383,Nick Thompson,1501.475681974095
384,Keith Wisniewski,1439.3250599500627
385,Ansar Chalangov,1468.7043984859663
386,Jeff Newton,1483.9323273572415
387,Gabriel Gonzaga,1512.2620548719954
388,Assuerio Silva,1457.4677853725057
389,Jason Von Flue,1482.8286876806403
390,Gilbert Aldana,1469.5078539070469
391,Mike Whitehead,1484.736306793522
392,Tom Murphy,1516.0
393,Icho Larenas,1484.0
394,Jason Lambert,1495.1483505246335
395,Rob MacDonald,1484.7023986633528
396,Sam Stout,1476.1456592479349
397,Mark Hominick,1479.7255576088257
398,Steve Vigneault,1485.4023024763235
399,Luigi Fioravanti,1491.6080155369934
400,Dan Christison,1501.1112685256817
401,Justin Levens,1471.7832194499244
402,Scott Smith,1466.5197103614953
403,Derrick Noble,1484.0339081301693
404,Dean Lister,1532.352600122035
405,Matt Wiman,1514.5314513372352
406,Rick Davis,1483.930848558797
407,Kendall Grove,1505.8785433904736
408,Ed Herman,1513.8677718165413
409,Michael Bisping,1623.0393938915138
410,Josh Haynes,1454.2012198826021
411,Wilson Gouveia,1525.3787389678198
412,Kalib Starnes,1487.5281445774672
413,Danny Abbadi,1468.0400137534155
414,Mike Nickels,1499.3826569900393
415,Wes Combs,1468.0310020906384
416,Rory Singer,1498.8580349506224
417,Ross Pointon,1467.2727918522603
418,Solomon Hutcherson,1483.3852514194905
419,Matt Hamill,1563.4433613937283
420,Jesse Forbes,1451.6129327123908
421,Jorge Santiago,1445.7448140590343
422,Kristian Rothaermel,1483.263693206478
423,Jorge Gurgel,1480.6682701807024
424,Anderson Silva,1589.111265571041
425,Anthony Perosh,1474.979261551052
426,Cheick Kongo,1557.6223740883822
427,Kurt Pellegrino,1531.9584120742556
428,Joe Jordan,1484.0157961102075
429,Anthony Torres,1500.0
430,Pat Healy,1434.4490423693712
431,Forrest Petz,1452.6815585040167
432,Jake O'Brien,1513.9455723443343
433,Kristof Midoux,1484.0
434,Martin Kampmann,1563.3217877821396
435,Crafton Wallace,1470.2049755158582
436,Yuki Sasaki,1484.7663632239373
437,Christian Wellisch,1484.5833329501913
438,Eric Schafer,1458.5180373012124
439,David Heath,1482.9368897987233
440,Cory Walmsley,1484.0
441,Jamie Varner,1462.1768411674013
442,Yushin Okami,1575.7488093045376
443,Alan Belcher,1548.1849070736375
444,Tyson Griffin,1518.5303506898078
445,David Lee,1467.966354638796
446,Eddie Sanchez,1496.7080684701177
447,Mario Neto,1484.0
448,Roger Huerta,1553.7675880795052
449,Jason Dent,1472.2753054771395
450,Joe Lauzon,1525.5335021430303
451,Gabe Ruediger,1455.3323805231807
452,Chris Price,1468.0
453,Jason MacDonald,1471.6221499309156
454,Seth Petruzelli,1440.2717987536416
455,Dustin Hazelett,1500.7371349367168
456,Kuniyoshi Hironaka,1472.7604208107564
457,Carmelo Marrero,1471.9697901177763
458,Clay Guida,1503.9665675258975
459,Justin James,1484.0
460,Dan Lauzon,1457.369170494606
461,Junior Assuncao,1486.158416331943
462,Thales Leites,1560.1006033182077
463,Drew McFedries,1484.3677988329007
464,Gleison Tibau,1530.232786223418
465,Antoni Hardonk,1501.9984146899342
466,Sherman Pendergarst,1484.0
467,Hector Ramirez,1469.4332211004973
468,Josh Shockman,1484.736306793522
469,Dokonjonosuke Mishima,1470.29400099513
470,Victor Valimaki,1468.5951062332342
471,Jeff Joslin,1486.6658233905466
472,Logan Clark,1516.0
473,Steve Byrnes,1484.0
474,Keita Nakamura,1468.5040521776464
475,Chad Reiner,1470.1158289707728
476,Heath Herring,1486.5122846686588
477,Sean Salmon,1470.8764501861801
478,Mirko Filipovic,1494.8509649370112
479,John Halverson,1469.3752574151652
480,Quinton Jackson,1555.343838816635
481,Frankie Edgar,1575.478082945738
482,Lyoto Machida,1601.726480738496
483,Diego Saraiva,1452.9023751267036
484,Jason Gilliam,1465.6993285406345
485,Rex Holman,1485.4358728782763
486,Justin McCully,1500.9580382013723
487,Thiago Tavares,1539.9387948699652
488,Naoyuki Kotani,1428.211253634861
489,Nate Mohr,1467.32498656001
490,Roan Carneiro,1494.3313811294806
491,Leonard Garcia,1426.5356606902542
492,Fabricio Werdum,1592.2563152718515
493,Paul Taylor,1487.293403401397
494,Edilberto de Oliveira,1468.7656201216516
495,Terry Etim,1509.6957018781798
496,Matt Grice,1457.0755313521233
497,Jess Liaudin,1483.3387146921339
498,Dennis Siver,1558.522644744639
499,Houston Alexander,1468.4578967035468
500,Thiago Silva,1564.6236686469426
501,Jeremy Stephens,1483.624438059882
502,Jordan Radev,1469.520151503855
503,Jason Black,1468.7023986633528
504,Tamdan McCrory,1488.885428816551
505,Jeff Cox,1468.7941733304751
506,Anthony Johnson,1611.2780528471824
507,Luke Caudillo,1467.2655013500369
508,Jason Tan,1470.223278822206
509,Colin Robinson,1468.0458937911671
510,Stevie Lynch,1484.0618708470606
511,Nate Diaz,1578.1221111222158
512,Manvel Gamburyan,1479.4946907648887
513,Floyd Sword,1484.0314636733415
514,Doug Evans,1470.0371307365951
515,Cole Miller,1493.4827143916164
516,Andy Wang,1484.0
517,Gray Maynard,1540.1655444427263
518,Rob Emerson,1495.0199652632728
519,Allen Berube,1483.3296897362338
520,Brian Geraghty,1483.2914648166425
521,Brandon Melendez,1484.920832744893
522,Alvin Robinson,1472.048450287512
523,Mark Bocek,1546.191857370143
524,Antonio Rodrigo Nogueira,1497.3818054088324
525,Alberto Crane,1471.439225041596
526,Ryan Jensen,1446.881730374283
527,Marcus Aurelio,1470.9067039588638
528,Tomasz Drwal,1499.697983489739
529,Joe Veres,1468.736306793522
530,Mauricio Rua,1507.9040824894205
531,Kazuhiro Nakamura,1469.5292377322423
532,Scott Junk,1484.0328588763439
533,Michihiro Omigawa,1429.981259854259
534,Demian Maia,1615.9402977579741
535,Ryo Chonan,1473.1942170680156
536,Jason Reinhardt,1454.9048859967015
537,Akihiro Gono,1488.4600396495114
538,Mac Danzig,1460.9443075657862
539,Tommy Speer,1468.6092980387707
540,War Machine,1499.263693206478
541,Jared Rollins,1484.0
542,George Sotiropoulos,1530.5058285886012
543,Billy Miles,1484.0
544,Paul Georgieff,1483.3336173155926
545,Troy Mandaloniz,1499.362019946075
546,Richie Hightower,1484.0
547,Matt Arroyo,1483.2976013366472
548,John Kolosci,1484.0
549,Roman Mitichyan,1500.0
550,Dorian Price,1484.0
551,Ben Saunders,1479.7279200448002
552,Dan Barrera,1484.0
553,Soa Palelei,1511.8722609267809
554,Rameau Thierry Sokoudjou,1486.0945975822856
555,Luiz Cane,1485.162725784665
556,Per Eklund,1483.413056891315
557,James Lee,1483.206092831739
558,Paul Kelly,1512.4221009870287
559,Corey Hill,1481.2259650087135
560,Justin Buchholz,1455.4537081000387
561,Brock Lesnar,1528.2667023982112
562,Rob Yundt,1468.0865254133462
563,Kyle Bradley,1469.1725127861396
564,Tim Boetsch,1514.0328304686725
565,David Bielkheden,1487.2054599543721
566,Chris Wilson,1472.7565702377665
567,Ryan Roberts,1483.9661744337986
568,Samy Schiavo,1467.4468758590756
569,Jason Day,1487.9091336143415
570,Cain Velasquez,1623.9876730093586
571,Brad Morris,1468.736306793522
572,Goran Reljic,1472.8084707509352
573,Antonio Mendes,1470.8813283725501
574,Shane Carwin,1535.7641282341
575,Yoshiyuki Yoshida,1486.4646013195154
576,Dong Hyun Kim,1608.572640260304
577,Rousimar Palhares,1557.4198430032113
578,Kevin Burns,1480.9820695567078
579,Rob Kimmons,1480.331295019865
580,Matt Brown,1547.5788551661713
581,Matthew Riddle,1552.1852252891072
582,Dante Rivera,1484.0
583,Amir Sadollah,1506.4386654338896
584,CB Dollaway,1527.2160568583158
585,Reese Andy,1471.4577505146096
586,Jesse Taylor,1498.6568012244425
587,Rory Markham,1485.866085446829
588,Brodie Farber,1468.3512345445142
589,Nate Loughran,1500.0
590,Johnny Rees,1467.975972327596
591,Brad Blackburn,1511.235678094619
592,James Giboo,1484.0
593,Shannon Gugerty,1485.67446293389
594,Dale Hartt,1483.9629961213702
595,Tim Credeur,1513.7112097085069
596,Cale Yarbrough,1484.0
597,Dan Evensen,1469.7671968570853
598,Jon Jones,1764.2300145236682
599,Andre Gusmao,1470.1632457797655
600,Steve Bruno,1484.2614509069763
601,Ryan Thomas,1469.4696487401425
602,Michael Patt,1469.9831318401186
603,Mike Massenzio,1458.2627492558627
604,Jason Brilz,1485.6511938961294
605,Dan Miller,1480.7688714012043
